service_id,date,exception_type
"5487_613167","20241120","1"
"5487_613167","20241121","1"
"5487_613167","20241122","1"
"5487_613167","20241125","1"
"5487_613167","20241126","1"
"5487_613167","20241127","1"
"5487_613167","20241128","1"
"5487_613167","20241129","1"
"5487_613167","20241202","1"
"5487_613167","20241203","1"
"5487_613167","20241204","1"
"5487_613167","20241205","1"
"5487_613167","20241206","1"
"5487_613167","20241209","1"
"5487_613167","20241210","1"
"5487_613167","20241211","1"
"5487_613167","20241212","1"
"5487_613167","20241213","1"
"5487_613167","20241216","1"
"5487_613167","20241217","1"
"5487_613167","20241218","1"
"5487_613167","20241219","1"
"5487_613167","20241220","1"
"5487_613167","20241223","1"
"5487_613167","20241224","1"
"5487_613167","20241227","1"
"5487_613167","20241230","1"
"5487_613167","20241231","1"
"5487_613168","20241012","1"
"5487_613168","20241019","1"
"5487_613168","20241026","1"
"5487_613168","20241102","1"
"5487_613168","20241109","1"
"5487_613168","20241116","1"
"5487_613168","20241123","1"
"5487_613168","20241130","1"
"5487_613168","20241207","1"
"5487_613168","20241214","1"
"5487_613168","20241221","1"
"5487_613168","20241228","1"
"5487_613169","20241007","1"
"5487_613169","20241008","1"
"5487_613169","20241009","1"
"5487_613169","20241010","1"
"5487_613169","20241011","1"
"5487_613169","20241014","1"
"5487_613169","20241015","1"
"5487_613169","20241016","1"
"5487_613169","20241017","1"
"5487_613169","20241018","1"
"5487_613169","20241021","1"
"5487_613169","20241022","1"
"5487_613169","20241023","1"
"5487_613169","20241024","1"
"5487_613169","20241025","1"
"5487_613169","20241028","1"
"5487_613169","20241029","1"
"5487_613169","20241030","1"
"5487_613169","20241031","1"
"5487_613169","20241104","1"
"5487_613169","20241105","1"
"5487_613169","20241106","1"
"5487_613169","20241107","1"
"5487_613169","20241108","1"
"5487_613169","20241111","1"
"5487_613169","20241112","1"
"5487_613169","20241113","1"
"5487_613169","20241114","1"
"5487_613169","20241115","1"
"5487_613169","20241118","1"
"5487_613169","20241119","1"
"5487_613169","20241120","1"
"5487_613169","20241121","1"
"5487_613169","20241122","1"
"5487_613169","20241125","1"
"5487_613169","20241126","1"
"5487_613169","20241127","1"
"5487_613169","20241128","1"
"5487_613169","20241129","1"
"5487_613169","20241202","1"
"5487_613169","20241203","1"
"5487_613169","20241204","1"
"5487_613169","20241205","1"
"5487_613169","20241206","1"
"5487_613169","20241209","1"
"5487_613169","20241210","1"
"5487_613169","20241211","1"
"5487_613169","20241212","1"
"5487_613169","20241213","1"
"5487_613169","20241216","1"
"5487_613169","20241217","1"
"5487_613169","20241218","1"
"5487_613169","20241219","1"
"5487_613169","20241220","1"
"5487_613169","20241223","1"
"5487_613169","20241224","1"
"5487_613169","20241227","1"
"5487_613169","20241230","1"
"5487_613170","20241013","1"
"5487_613170","20241020","1"
"5487_613170","20241027","1"
"5487_613170","20241101","1"
"5487_613170","20241103","1"
"5487_613170","20241110","1"
"5487_613170","20241117","1"
"5487_613170","20241201","1"
"5487_613170","20241208","1"
"5487_613170","20241215","1"
"5487_613170","20241222","1"
"5487_613170","20241226","1"
"5487_613170","20241229","1"
"5487_613171","20241013","1"
"5487_613171","20241020","1"
"5487_613171","20241027","1"
"5487_613171","20241101","1"
"5487_613171","20241103","1"
"5487_613171","20241110","1"
"5487_613171","20241117","1"
"5487_613171","20241124","1"
"5487_613171","20241201","1"
"5487_613171","20241208","1"
"5487_613171","20241215","1"
"5487_613171","20241222","1"
"5487_613171","20241226","1"
"5487_613171","20241229","1"
"5487_613172","20241225","1"
"5487_613173","20241007","1"
"5487_613173","20241008","1"
"5487_613173","20241009","1"
"5487_613173","20241010","1"
"5487_613173","20241011","1"
"5487_613173","20241014","1"
"5487_613173","20241015","1"
"5487_613173","20241016","1"
"5487_613173","20241017","1"
"5487_613173","20241018","1"
"5487_613173","20241021","1"
"5487_613173","20241022","1"
"5487_613173","20241023","1"
"5487_613173","20241024","1"
"5487_613173","20241025","1"
"5487_613173","20241028","1"
"5487_613173","20241029","1"
"5487_613173","20241030","1"
"5487_613173","20241031","1"
"5487_613173","20241104","1"
"5487_613173","20241105","1"
"5487_613173","20241106","1"
"5487_613173","20241107","1"
"5487_613173","20241108","1"
"5487_613173","20241111","1"
"5487_613173","20241112","1"
"5487_613173","20241113","1"
"5487_613173","20241114","1"
"5487_613173","20241115","1"
"5487_613173","20241118","1"
"5487_613173","20241119","1"
"5487_613173","20241120","1"
"5487_613173","20241121","1"
"5487_613173","20241122","1"
"5487_613173","20241125","1"
"5487_613173","20241126","1"
"5487_613173","20241127","1"
"5487_613173","20241128","1"
"5487_613173","20241129","1"
"5487_613173","20241202","1"
"5487_613173","20241203","1"
"5487_613173","20241204","1"
"5487_613173","20241205","1"
"5487_613173","20241206","1"
"5487_613173","20241209","1"
"5487_613173","20241210","1"
"5487_613173","20241211","1"
"5487_613173","20241212","1"
"5487_613173","20241213","1"
"5487_613173","20241216","1"
"5487_613173","20241217","1"
"5487_613173","20241218","1"
"5487_613173","20241219","1"
